name,drawing,revision,fixture,py,px,ny,nx,developer_notes,operator_notes,requires_attn,requires_proof,start_date,finish_date
7006453 - A,7006453,A,T11927,0.0,0.0,273.5,0.0,,,0,1,1900-01-01,
8001015 - B,8001015,B,T11915,503.8269,540.0,270.0,331.28700000000003,,,0,1,1900-01-01,
8001060 - D,8001060,D,T11943,405.0,540.0,540.0,270.0,,,0,1,1900-01-01,
8001074 - B,8001074,B,T11826,540.0,0.0,270.0,0.0,,,0,1,1900-01-01,
8001075 - B,8001075,B,T11824,576.0,0.0,288.0,0.0,,,0,1,1900-01-01,
8001076 - B,8001076,B,T11809,540.0,0.0,270.0,0.0,,,0,1,1900-01-01,
8001078 - B,8001078,B,T11805,540.0,0.0,270.0,0.0,,,0,1,1900-01-01,
8001128 - B,8001128,B,T11800,270.0,0.0,540.0,0.0,,,0,1,1900-01-01,
8001142 - B,8001142,B,T11800,270.0,0.0,540.0,0.0,,,0,1,1900-01-01,
9078-101 - B,9078-101,B,T11752,0.0,576.0,136.75,432.0,,,0,1,1900-01-01,
M9BD10MB - K,M9BD10MB,K,T11929,236.8579,0.0,0.0,0.0,,,0,1,1900-01-01,
