name,drawing,revision,fixture,py,px,ny,nx,developer_notes,operator_notes,requires_attn,requires_proof,start_year,start_month,start_day,finish_year,finish_month,finish_day
7003310 - L,7003310,L,T11766,576,473.7158,576,236.8579,,,0,1,2021,11,5,2021,11,8
7003325 - H,7003325,H,T11829,273.5,0,273.5,0,,,0,1,2022,3,8,2022,3,10
7003378 - M,7003378,M,T11761,432,0,547,0,,,0,1,2021,11,3,2021,11,3
7003448 - H,7003448,H,T11844,288,0,273.5,0,,,0,1,2022,4,6,2022,4,7
7004139 - J,7004139,J,T11784,547,100.0214,576,94.9856,,,0,1,2021,12,13,2021,12,16
7004145 - H,7004145,H,T12035,547,0,273.5,0,,,0,1,2023,1,12,2023,1,13
7004252 - D,7004252,D,T11810,203.6468,288,288,414,,,1,0,2022,2,4,2022,2,7
7004578 - D,7004578,D,T11754,136.75,540,440.9839,270,,,0,0,2021,10,22,2021,10,27
7004579 - C,7004579,C,T11725,0,0,270,288,,,0,1,2021,8,10,2021,8,13
7004599 - F,7004599,F,T11753,0,540,273.5,270,,,0,0,2021,10,22,2021,10,22
7004768 - C,7004768,C,T11836,273.5,273.5,521,273.5,,,0,1,2022,3,21,2022,3,22
7004772 - B,7004772,B,T11845,273.5,0,273.5,0,,,0,1,2022,4,11,2022,4,13
7004819 - D,7004819,D,T11755,273.5,0,547,0,,,0,0,2021,11,10,2021,11,15
7004820 - B,7004820,B,T11755,273.5,0,547,0,,,0,0,2021,10,26,2021,11,1
7004830 - B,7004830,B,T11780,288,0,288,0,,,0,1,2021,11,30,2021,12,1
7004842 - A,7004842,A,T11860,547,0,273.5,0,,,0,1,2022,4,28,2022,5,3
7004844 - B,7004844,B,T11791,288,0,576,0,,,0,1,2021,12,21,2021,12,28
7004860 - B,7004860,B,T11865,273.5,0,273.5,0,,,0,1,2022,5,11,2022,5,12
7004909 - D,7004909,D,T11711,0,141.574,288,270,,,0,0,2021,7,16,2021,8,2
7004935 - A,7004935,A,T11887,273.5,0,273.5,0,,,0,1,2022,5,24,2022,5,25
7005018 - A,7005018,A,T11819,453.8937,0,521,0,,,0,0,2022,2,18,2022,2,21
7005025 - B,7005025,B,T11833,273.5,0,344.287,0,,,0,1,2022,3,16,2022,3,16
7005067 - B,7005067,B,T11849,167.4839,334.9678,440.9839,270,,,0,1,2022,4,14,2022,4,18
7005068 - B,7005068,B,T11835,50.054,141.574,323.554,270,,,0,1,2022,3,18,2022,3,21
7005074 - A,7005074,A,T11853,0,273.5,273.5,270,,,0,1,2022,4,21,2022,4,21
7005075 - B,7005075,B,T11823,203.6468,273.5,288,424.75,,,0,1,2022,2,24,2022,2,25
7005118 - A,7005118,A,T11926,0,0,273.5,0,,,0,1,2022,7,28,2022,8,2
7005128 - A,7005128,A,T11781,576,0,288,0,,,0,1,2021,12,2,2021,12,7
7005132 - A,7005132,A,T11858,288,0,576,0,,,0,1,2022,4,26,2022,4,28
7005133 - A,7005133,A,T11711,0,0,288,0,,,0,0,2021,8,16,2021,8,20
7005136 - A,7005136,A,T11857,576,0,288,0,,,0,1,2022,4,25,2022,4,26
7005137 - A,7005137,A,T11855,561.5,0,288,0,,,0,1,2022,4,22,2022,4,25
7005138 - D,7005138,D,T11711,0,141.574,288,270,,,0,0,2021,8,3,2021,8,9
7005139 - C,7005139,C,T11863,288,100.0214,288,92.7282,,,0,1,2022,5,5,2022,5,9
7005168 - F,7005168,F,T11848,136.75,273.5,288,270,,,0,1,2022,4,13,2022,4,14
7005174 - B,7005174,B,T11761,547,0,273.5,0,,,0,1,2021,11,3,2021,11,3
7005192 - C,7005192,C,T11904,547,0,273.5,0,,,0,1,2022,6,14,1900,1,0
7005446 - E,7005446,E,T11839,460.304,186.804,380.1977,186.804,,,0,1,2022,3,29,2022,3,31
7005475 - C,7005475,C,T11792,190.9188,339.8811,270,270,,,0,1,2021,12,29,2022,1,3
7005502 - B,7005502,B,T11782,47.4928,0,273.5,0,,,0,1,2021,12,8,2021,12,13
7005559 - B,7005559,B,T11768,576,273.5,576,410.25,,,0,0,2021,11,9,2021,11,11
7005604 - C,7005604,C,T11885,273.5,0,273.5,0,,,0,1,2022,5,24,2022,5,24
7005640 - D,7005640,D,T11931,576,236.8579,561.5,473.7158,,,1,0,2021,10,12,2021,10,20
7005681 - B,7005681,B,T11918,534,0,521,0,,,0,1,2022,7,8,2022,9,12
7005685 - B,7005685,B,T11955,273.5,0,273.5,0,,,0,1,2022,9,20,2022,11,3
7005691 - B,7005691,B,T11852,288,273.5,288,397.25,,,0,1,2022,4,20,2022,4,21
7005692 - A,7005692,A,T11851,273.5,0,273.5,0,,,0,1,2022,4,19,2022,4,19
7005737 - A,7005737,A,T11842,0,547,273.5,273.5,,,0,1,2022,4,4,2022,4,5
7005740 - C,7005740,C,T11925,288,0,576,0,,,0,1,2022,7,28,2022,8,2
7005743 - B,7005743,B,T11871,273.5,0,273.5,0,,,0,1,2022,5,12,2022,6,8
7005753 - A,7005753,A,T11854,410.25,0,273.5,0,,,0,1,2022,4,21,2022,4,22
7005841 - A,7005841,A,T11843,288,0,288,288,,,0,1,2022,4,5,2022,4,6
7005881 - C,7005881,C,T11864,288,0,273.5,0,,,0,1,2022,5,9,2022,5,11
7005902 - C,7005902,C,T11762,270,141.574,270,70.787,,,0,0,2021,11,4,2021,11,4
7005903 - A,7005903,A,T11827,362.5399,0,576,0,,,0,1,2022,3,2,2022,3,4
7005911 - C,7005911,C,T11850,288,0,537.6807,273.5,,,0,1,2022,4,18,2022,4,19
7005913 - B,7005913,B,T11905,473.7158,273.5,288,0,,,0,1,2022,6,17,1900,1,0
7006000 - C,7006000,C,T11931,576,236.8579,561.5,509.3171,,,1,0,2021,10,12,2021,10,20
7006083 - A,7006083,A,T11861,273.5,96.6969,273.5,96.6969,,,0,1,2022,4,29,2022,5,2
7006102 - A,7006102,A,T11814,270,0,543.5,0,,,0,1,2022,2,14,2022,2,16
7006112 - A,7006112,A,T11821,288,0,288,0,,,0,1,2022,2,22,2022,4,11
7006153 - A,7006153,A,T11777,288,100.0214,534,50.0107,,,0,1,2021,11,19,2021,11,29
7006157 - A,7006157,A,T11816,432,0,288,0,,,0,0,2022,2,17,2022,2,17
7006158 - B,7006158,B,T11815,288,288,576,144,,,0,0,2022,2,16,2022,2,17
7006188 - B,7006188,B,T11988,0,0,0,0,,,0,1,2022,10,28,2022,12,6
7006189 - B,7006189,B,T11988,0,0,0,0,,,0,1,2022,10,28,2022,12,6
7006190 - B,7006190,B,T11988,0,0,0,0,,,0,1,2022,10,28,2022,12,6
7006191 - B,7006191,B,T11988,0,0,0,0,,,0,1,2022,10,28,2022,12,6
7006192 - B,7006192,B,T11988,0,0,0,0,,,0,1,2022,10,28,2022,12,6
7006263 - B,7006263,B,T11817,547,0,273.5,0,,,0,1,2022,2,17,2022,4,11
7006266 - C,7006266,C,T11828,273.5,236.8579,273.5,0,,,0,1,2022,3,7,2022,4,1
7006305 - A,7006305,A,T11897,286.9041,498.8306,286.9041,249.4153,,,0,1,2022,6,7,1900,1,0
7006306 - A,7006306,A,T11898,540,0,543.5,0,,,0,1,2022,6,8,1900,1,0
7006335 - C,7006335,C,T11811,273.5,473.7158,273.5,236.8579,,,0,0,2022,2,8,2022,2,10
7006336 - C,7006336,C,T11793,273.5,0,273.5,0,,,0,1,2022,1,3,2022,8,29
7006337 - B,7006337,B,T11813,273.5,0,273.5,0,,,0,1,2022,2,10,2022,2,14
7006344 - C,7006344,C,T11793,273.5,0,273.5,0,,,0,1,2022,5,31,2022,9,15
7006345 - C,7006345,C,T11881,136.75,386.7874,273.5,193.3937,,,0,1,2022,5,23,2022,9,9
7006346 - B,7006346,B,T11768,561.5,0,576,0,,,0,0,2021,11,29,2021,11,29
7006347 - B,7006347,B,T11952,0,547,0,547,,,0,1,2022,9,16,2022,9,19
7006355 - A,7006355,A,T11796,270,0,270,0,,,0,0,2022,1,18,2022,1,20
7006356 - B,7006356,B,T11822,288,0,288,0,,,0,1,2022,2,24,2022,4,4
7006378 - C,7006378,C,T11862,561.5,0,273.5,0,,,0,1,2022,5,2,2022,5,9
7006402 - A,7006402,A,T12003,0,432,288,288,,,0,1,2022,11,25,2022,11,29
7006403 - A,7006403,A,T12004,0,432,273.5,288,,,0,1,2022,11,29,2022,11,29
7006407 - A,7006407,A,T12005,273.5,0,547,0,,,0,1,2022,11,29,2022,11,29
7006408 - B,7006408,B,T12006,273.5,0,273.5,0,,,0,1,2022,11,29,2022,11,29
7006415 - B,7006415,B,T12007,273.5,0,273.5,0,,,0,1,2022,11,30,2022,11,30
7006439 - A,7006439,A,T11989,135,540,273.5,270,,,0,1,2022,11,1,2022,11,8
7006440 - A,7006440,A,T11989,135,540,273.5,315.2354,,,0,1,2022,11,1,2022,11,8
7006452 - A,7006452,A,T11793,273.5,0,273.5,0,,,0,1,2022,9,27,2022,9,28
7006453 - A,7006453,A,T11927,0,0,273.5,0,,,0,1,2022,7,28,2022,8,3
8001015 - B,8001015,B,T11915,503.8269,540,270,331.287,,,0,1,2022,6,30,2022,6,30
8001060 - D,8001060,D,T11943,405,540,540,270,,,0,1,2022,8,22,2022,8,26
8001074 - B,8001074,B,T11826,540,0,270,0,,,0,1,2022,2,28,2022,3,1
8001075 - B,8001075,B,T11824,576,0,288,0,,,0,1,2022,2,25,2022,2,28
8001076 - B,8001076,B,T11809,540,0,270,0,,,0,1,2022,2,3,2022,2,3
8001078 - B,8001078,B,T11805,540,0,270,0,,,0,1,2022,2,1,2022,2,2
8001128 - B,8001128,B,T11800,270,0,540,0,,,0,1,2022,1,31,2022,2,1
8001142 - B,8001142,B,T11800,270,0,540,0,,,0,1,2022,1,27,2022,1,28
M9BD10MB - K,M9BD10MB,K,T11929,236.8579,0,0,0,,,0,1,2022,8,1,2022,8,2
T31-28-2900QA1 - B,T31-28-2900QA1,B,T11752,0,576,136.75,432,,,0,1,2021,10,21,2021,10,25
